"ID","Gene"
1,"AKT1"
158,"AKT1"
88,"ALK_Col1"
132,"ALK_Col1"
18,"ALK_Col2"
62,"ALK_Col2"
6,"APC"
17,"APC"
38,"APC"
49,"APC"
55,"APC"
73,"APC"
87,"APC"
100,"APC"
103,"APC"
107,"APC"
108,"APC"
120,"APC"
127,"APC"
134,"APC"
149,"APC"
156,"APC"
162,"APC"
163,"APC"
164,"APC"
53,"ATM_Col1"
67,"ATM_Col1"
94,"ATM_Col1"
173,"ATM_Col1"
173,"ATM_Col2"
133,"BRAF"
1,"CCND2"
94,"CCND2"
4,"CDKN2A"
9,"CDKN2A"
11,"CDKN2A"
14,"CDKN2A"
21,"CDKN2A"
23,"CDKN2A"
32,"CDKN2A"
35,"CDKN2A"
37,"CDKN2A"
41,"CDKN2A"
43,"CDKN2A"
48,"CDKN2A"
51,"CDKN2A"
52,"CDKN2A"
56,"CDKN2A"
71,"CDKN2A"
74,"CDKN2A"
78,"CDKN2A"
81,"CDKN2A"
91,"CDKN2A"
92,"CDKN2A"
95,"CDKN2A"
97,"CDKN2A"
105,"CDKN2A"
112,"CDKN2A"
115,"CDKN2A"
118,"CDKN2A"
119,"CDKN2A"
121,"CDKN2A"
135,"CDKN2A"
138,"CDKN2A"
141,"CDKN2A"
145,"CDKN2A"
146,"CDKN2A"
148,"CDKN2A"
157,"CDKN2A"
159,"CDKN2A"
160,"CDKN2A"
170,"CDKN2A"
172,"CDKN2A"
179,"CDKN2A"
181,"CDKN2A"
188,"CDKN2A"
189,"CDKN2A"
190,"CDKN2A"
28,"CTNNB1"
33,"CTNNB1"
93,"CTNNB1"
173,"CTNNB1"
14,"DNMT3A"
56,"DNMT3A"
176,"DNMT3A"
1,"EGFR"
28,"EGFR"
47,"EGFR"
133,"EGFR"
158,"EGFR"
169,"EGFR"
59,"ERBB3"
62,"ERBB4"
161,"ERBB4"
178,"ESR1"
11,"FBXW7"
35,"FBXW7"
97,"FBXW7"
99,"FBXW7"
105,"FBXW7"
122,"FBXW7"
141,"FBXW7"
189,"FBXW7"
14,"FGFR1"
25,"FGFR1"
36,"FGFR1"
159,"FGFR1"
1,"FGFR3"
158,"FGFR3"
169,"FLT4"
173,"FLT4"
133,"FOXL2"
158,"FOXL2"
7,"GNAS"
34,"GNAS"
52,"GNAS"
70,"GNAS"
135,"GNAS"
154,"GNAS"
184,"GNAS"
136,"HNF1A"
1,"KRAS_Col1"
5,"KRAS_Col1"
12,"KRAS_Col1"
16,"KRAS_Col1"
22,"KRAS_Col1"
23,"KRAS_Col1"
29,"KRAS_Col1"
31,"KRAS_Col1"
34,"KRAS_Col1"
37,"KRAS_Col1"
38,"KRAS_Col1"
44,"KRAS_Col1"
47,"KRAS_Col1"
48,"KRAS_Col1"
50,"KRAS_Col1"
52,"KRAS_Col1"
54,"KRAS_Col1"
55,"KRAS_Col1"
57,"KRAS_Col1"
58,"KRAS_Col1"
59,"KRAS_Col1"
61,"KRAS_Col1"
63,"KRAS_Col1"
65,"KRAS_Col1"
77,"KRAS_Col1"
82,"KRAS_Col1"
83,"KRAS_Col1"
84,"KRAS_Col1"
88,"KRAS_Col1"
94,"KRAS_Col1"
106,"KRAS_Col1"
117,"KRAS_Col1"
118,"KRAS_Col1"
123,"KRAS_Col1"
125,"KRAS_Col1"
127,"KRAS_Col1"
130,"KRAS_Col1"
133,"KRAS_Col1"
134,"KRAS_Col1"
137,"KRAS_Col1"
141,"KRAS_Col1"
144,"KRAS_Col1"
149,"KRAS_Col1"
155,"KRAS_Col1"
157,"KRAS_Col1"
162,"KRAS_Col1"
163,"KRAS_Col1"
164,"KRAS_Col1"
165,"KRAS_Col1"
168,"KRAS_Col1"
173,"KRAS_Col1"
174,"KRAS_Col1"
179,"KRAS_Col1"
182,"KRAS_Col1"
187,"KRAS_Col1"
178,"KRAS_Col2"
18,"MAP2K2"
4,"MET"
13,"MET"
23,"MET"
27,"MET"
59,"MET"
80,"MET"
153,"MET"
170,"MET"
188,"MET"
132,"MLH_Col2"
6,"MSH2"
12,"MSH2"
15,"MSH2"
20,"MSH2"
38,"MSH2"
57,"MSH2"
69,"MSH2"
72,"MSH2"
73,"MSH2"
83,"MSH2"
108,"MSH2"
111,"MSH2"
117,"MSH2"
120,"MSH2"
134,"MSH2"
140,"MSH2"
149,"MSH2"
150,"MSH2"
155,"MSH2"
156,"MSH2"
162,"MSH2"
163,"MSH2"
164,"MSH2"
165,"MSH2"
168,"MSH2"
174,"MSH2"
177,"MSH2"
180,"MSH2"
185,"MSH2"
187,"MSH2"
66,"MSH6"
70,"MSH6"
86,"MSH6"
96,"MSH6"
97,"MSH6"
124,"MSH6"
146,"MSH6"
22,"NF_Col1"
34,"NF_Col1"
86,"NF_Col1"
119,"NF_Col1"
121,"NF_Col1"
43,"NF_Col2"
54,"NF_Col2"
60,"NF_Col2"
70,"NF_Col2"
84,"NF_Col2"
90,"NF_Col2"
95,"NF_Col2"
96,"NF_Col2"
138,"NF_Col2"
171,"NF_Col2"
23,"NF_Col3"
45,"NF_Col3"
97,"NF_Col3"
99,"NF_Col3"
148,"NF_Col3"
184,"NF_Col3"
186,"NF_Col3"
143,"NF_Col5"
154,"NF_Col5"
33,"NOTCH1"
64,"NOTCH1"
109,"NOTCH1"
158,"NOTCH1"
9,"NTRK1"
41,"NTRK1"
101,"NTRK1"
102,"NTRK1"
145,"NTRK1"
172,"NTRK1"
179,"NTRK1"
1,"PDGFRB"
10,"PDGFRB"
53,"PDGFRB"
94,"PDGFRB"
173,"PDGFRB"
7,"PIK3CA"
33,"PIK3CA"
41,"PIK3CA"
48,"PIK3CA"
56,"PIK3CA"
70,"PIK3CA"
175,"PIK3CA"
4,"PIK3CB"
7,"PIK3CB"
21,"PIK3CB"
22,"PIK3CB"
26,"PIK3CB"
48,"PIK3CB"
71,"PIK3CB"
119,"PIK3CB"
128,"PIK3CB"
171,"PIK3CB"
179,"PIK3CB"
47,"POLD_Col2"
93,"POLD_Col2"
104,"POLD_Col2"
109,"POLD_Col2"
169,"POLD_Col2"
34,"PTCH1"
67,"PTCH1"
132,"PTCH1"
176,"PTCH1"
21,"PTEN"
43,"PTEN"
68,"PTEN"
90,"PTEN"
96,"PTEN"
114,"PTEN"
186,"PTEN"
11,"RB1"
21,"RB1"
25,"RB1"
184,"RB1"
18,"SMARCA4"
22,"SMARCB1"
23,"SMARCB1"
36,"SMARCB1"
42,"SMARCB1"
74,"SMARCB1"
86,"SMARCB1"
115,"SMARCB1"
119,"SMARCB1"
146,"SMARCB1"
2,"SMO"
8,"SMO"
71,"SMO"
95,"SMO"
97,"SMO"
141,"SMO"
160,"SMO"
176,"SMO"
1,"STK11"
3,"STK11"
24,"STK11"
28,"STK11"
47,"STK11"
48,"STK11"
54,"STK11"
66,"STK11"
74,"STK11"
76,"STK11"
78,"STK11"
80,"STK11"
81,"STK11"
86,"STK11"
101,"STK11"
105,"STK11"
116,"STK11"
139,"STK11"
141,"STK11"
151,"STK11"
171,"STK11"
172,"STK11"
173,"STK11"
8,"TERT"
13,"TERT"
25,"TERT"
58,"TERT"
74,"TERT"
92,"TERT"
97,"TERT"
131,"TERT"
146,"TERT"
148,"TERT"
2,"TP53_Col1"
4,"TP53_Col1"
5,"TP53_Col1"
6,"TP53_Col1"
7,"TP53_Col1"
9,"TP53_Col1"
10,"TP53_Col1"
11,"TP53_Col1"
14,"TP53_Col1"
16,"TP53_Col1"
17,"TP53_Col1"
18,"TP53_Col1"
21,"TP53_Col1"
22,"TP53_Col1"
23,"TP53_Col1"
25,"TP53_Col1"
26,"TP53_Col1"
27,"TP53_Col1"
28,"TP53_Col1"
29,"TP53_Col1"
31,"TP53_Col1"
34,"TP53_Col1"
38,"TP53_Col1"
42,"TP53_Col1"
45,"TP53_Col1"
46,"TP53_Col1"
47,"TP53_Col1"
48,"TP53_Col1"
49,"TP53_Col1"
51,"TP53_Col1"
54,"TP53_Col1"
56,"TP53_Col1"
58,"TP53_Col1"
59,"TP53_Col1"
61,"TP53_Col1"
62,"TP53_Col1"
63,"TP53_Col1"
64,"TP53_Col1"
65,"TP53_Col1"
66,"TP53_Col1"
67,"TP53_Col1"
68,"TP53_Col1"
70,"TP53_Col1"
71,"TP53_Col1"
75,"TP53_Col1"
77,"TP53_Col1"
78,"TP53_Col1"
79,"TP53_Col1"
80,"TP53_Col1"
83,"TP53_Col1"
84,"TP53_Col1"
85,"TP53_Col1"
86,"TP53_Col1"
87,"TP53_Col1"
88,"TP53_Col1"
90,"TP53_Col1"
91,"TP53_Col1"
92,"TP53_Col1"
93,"TP53_Col1"
94,"TP53_Col1"
96,"TP53_Col1"
97,"TP53_Col1"
98,"TP53_Col1"
99,"TP53_Col1"
103,"TP53_Col1"
104,"TP53_Col1"
105,"TP53_Col1"
106,"TP53_Col1"
107,"TP53_Col1"
108,"TP53_Col1"
109,"TP53_Col1"
110,"TP53_Col1"
112,"TP53_Col1"
113,"TP53_Col1"
114,"TP53_Col1"
115,"TP53_Col1"
116,"TP53_Col1"
118,"TP53_Col1"
119,"TP53_Col1"
122,"TP53_Col1"
123,"TP53_Col1"
124,"TP53_Col1"
128,"TP53_Col1"
129,"TP53_Col1"
130,"TP53_Col1"
131,"TP53_Col1"
132,"TP53_Col1"
133,"TP53_Col1"
135,"TP53_Col1"
138,"TP53_Col1"
139,"TP53_Col1"
140,"TP53_Col1"
141,"TP53_Col1"
145,"TP53_Col1"
146,"TP53_Col1"
147,"TP53_Col1"
148,"TP53_Col1"
151,"TP53_Col1"
152,"TP53_Col1"
154,"TP53_Col1"
155,"TP53_Col1"
157,"TP53_Col1"
158,"TP53_Col1"
159,"TP53_Col1"
162,"TP53_Col1"
165,"TP53_Col1"
170,"TP53_Col1"
173,"TP53_Col1"
174,"TP53_Col1"
175,"TP53_Col1"
180,"TP53_Col1"
181,"TP53_Col1"
183,"TP53_Col1"
185,"TP53_Col1"
188,"TP53_Col1"
189,"TP53_Col1"
190,"TP53_Col1"
37,"TP53_Col2"
74,"TP53_Col2"
78,"TP53_Col2"
90,"TP53_Col2"
96,"TP53_Col2"
148,"TP53_Col2"
172,"TP53_Col2"
179,"TP53_Col2"
1,"TSC2"
5,"TSC2"
6,"TSC2"
10,"TSC2"
12,"TSC2"
16,"TSC2"
38,"TSC2"
39,"TSC2"
44,"TSC2"
49,"TSC2"
57,"TSC2"
73,"TSC2"
83,"TSC2"
87,"TSC2"
100,"TSC2"
103,"TSC2"
110,"TSC2"
111,"TSC2"
117,"TSC2"
120,"TSC2"
123,"TSC2"
126,"TSC2"
127,"TSC2"
144,"TSC2"
163,"TSC2"
164,"TSC2"
167,"TSC2"
168,"TSC2"
180,"TSC2"
182,"TSC2"
187,"TSC2"
